"treeID","h_max","h_mean","h_p95","n_pts"
248,24.474,8.67719279907085,16.415,861
249,17.995,14.3642608695652,17.73,23
250,22.205,14.5334583333333,21.3392,48
251,24.14,8.55664091858038,16.282,479
252,24.102,8.51868991416309,15.8274,932
253,24.126,8.54554791666667,15.7179,480
254,23.636,9.53452417302799,16.4034,393
255,21.757,7.78994366197183,16.69825,1136
256,19.633,13.6029262295082,18.42335,122
257,18.556,14.3273095238095,18.50675,42
258,20.305,19.5408,20.1746,5
259,20.988,17.0578,19.8792,10
260,22.176,16.4239411764706,21.3832,34
261,20.533,8.26353946227233,18.0844,1153
262,20.252,12.6601987951807,19.679,166
263,16.619,15.0286153846154,16.559,13
264,21.26,18.6843333333333,21.14175,24
265,23.584,9.26389772727273,16.83085,352
266,20.564,8.58384730538922,18.2055,668
267,20.549,11.2872453183521,19.4629,534
268,22.768,15.0485897435897,22.2643,39
269,23.229,14.6795555555556,21.9384,99
270,24.713,11.2,23.72,356
271,24.184,8.99714522821577,16.2997,482
272,23.739,9.26359770114943,16.4038,609
273,23.014,9.46264489311164,16.78095,842
274,20.489,8.18461259338314,17.8598,937
275,23.866,12.550156779661,22.35375,236
276,19.12,14.2691176470588,18.297,51
277,17.406,15.06245,17.33665,20
278,20.224,12.7374938271605,19.8446,162
279,24.224,9.03872530120482,18.8221,415
280,24.648,7.82617337164751,17.2272,1044
281,24.639,9.06551962616822,16.323,535
282,24.561,8.99140659340659,16.70725,364
283,24.352,9.15858556149733,18.087,374
284,24.063,9.12900770712909,15.8632,519
285,23.471,9.51774969325153,16.3641,815
286,22.718,8.33011012956419,16.10695,1698
287,20.597,8.79938990182328,17.687,713
288,20.842,9.47771282051282,18.975,585
289,20.785,9.95052252252252,19.6658,444
290,20.739,11.0315,19.96775,366
291,19.816,13.6105135135135,19.05015,74
292,24.801,11.1590867579909,24.1811,219
293,24.854,10.725922829582,23.4565,311
294,24.75,9.74533852140078,22.6946,257
295,20.135,13.8230909090909,19.4747,99
296,20.383,18.7949,20.34925,10
297,22.718,17.1797142857143,22.4338,49
298,23.413,15.5560338983051,22.8969,59
299,23.873,14.1044210526316,23.02135,114
300,24.543,8.33659950248756,22.73405,402
301,24.862,9.34958150851581,24.068,411
302,24.35,8.21942905405405,16.4313,592
303,17.228,14.9633181818182,17.1657,22
304,21.905,17.9436,20.8885,20
305,24.476,10.6504034090909,21.767,176
306,24.821,8.89558904109589,22.7232,219
307,20.827,9.53228915662651,19.8691,664
308,20.443,12.669092920354,19.8295,226
309,24.641,10.7559398907104,23.6862,183
310,24.86,11.0940843373494,24.417,166
311,24.825,9.49076388888889,21.59145,360
312,24.011,8.29492236024845,15.8176,644
313,23.953,9.74032007575758,16.89405,528
314,23.461,9.60179949238579,17.6625,394
315,22.483,8.49842105263158,15.77165,608
316,22.208,8.84817536071032,17.997,901
317,19.628,14.7152113821138,19.1065,123
318,18.385,15.0715952380952,17.8347,42
319,21.179,17.4307857142857,20.3288,14
320,24.264,12.5317183098592,23.6017,142
321,24.696,11.7642151898734,23.9889,79
322,24.922,11.1502994350282,24.73325,354
323,24.7,7.81791479820628,17.4575,446
324,24.633,6.74894349680171,14.9657,938
325,22.523,8.86443163538874,18.0615,746
326,21.077,9.5705928917609,19.6078,619
327,20.901,9.36368661971831,20.77925,568
328,20.734,13.0819139072848,20.177,151
329,20.177,14.1860142857143,20.01595,70
330,21.866,18.3178823529412,20.7628,17
331,22.978,16.9350697674419,22.5868,43
332,23.6,9.38402481389578,18.5828,403
333,23.776,17.1642115384615,23.5457,52
334,24.468,11.4570783410138,23.3854,217
335,23.18,8.92415273775216,16.2012,347
336,20.847,9.58023880597015,18.206,536
337,20.826,10.8775,20.1726,160
338,24.715,11.3179595687332,24.028,371
339,23.691,9.2701106557377,17.22795,488
340,23.934,10.0997603550296,18.73975,338
341,20.923,8.25577411764706,20.4974,850
342,20.092,14.9113,19.8389,40
343,18.08,15.1369024390244,17.958,41
344,24.869,10.0224718614719,24.40085,462
345,24.843,8.75586585365854,22.58595,410
346,24.479,6.45973571428571,13.96675,420
347,24.292,7.71528629579376,16.7464,737
348,23.171,10.1052579787234,17.71175,376
349,20.43,13.8906593406593,20.365,91
350,20.014,14.785170212766,19.814,47
351,19.538,14.7405972222222,19.3506,72
352,21.981,18.34812,21.653,25
353,23.267,18.18434375,22.9538,32
354,24.078,14.7865714285714,23.6847,70
355,24.357,11.1212727272727,23.539,165
356,24.971,9.25310367170626,24.7875,463
357,21.426,10.3079446308725,19.8455,596
358,24.924,7.42093996840442,21.1858,633
